Age,Gender,Education,Job_Role,Department,Experience,Salary
33.0,Male,Bachelor's,Engineer,Finance,9.0,73096
53.0,Male,PhD,Engineer,Marketing,27.0,119506
38.0,Female,Master's,Analyst,Operations,12.0,83769
49.0,Female,Bachelor's,Manager,Operations,26.0,112954
31.0,Male,Bachelor's,Engineer,HR,,70749
53.0,Male,Bachelor's,Intern,IT,27.0,72682
36.0,Male,High School,Analyst,HR,12.0,53341
42.0,Female,Master's,Manager,IT,,104459
23.0,Male,Master's,Director,HR,1.0,95317
55.0,Female,Master's,Director,HR,29.0,148451
44.0,Male,High School,Intern,Operations,20.0,58460
33.0,Female,PhD,Manager,IT,11.0,106353
49.0,Female,Master's,Intern,Finance,26.0,88462
53.0,Male,Bachelor's,Engineer,Finance,28.0,100490
38.0,Female,Bachelor's,Engineer,HR,12.0,86866
53.0,Female,Bachelor's,Analyst,HR,27.0,88056
45.0,Male,Bachelor's,Analyst,Operations,21.0,87630
30.0,Female,Bachelor's,Analyst,IT,7.0,63503
37.0,Male,Bachelor's,Analyst,HR,14.0,71430
32.0,Male,Bachelor's,Engineer,Finance,6.0,67957
32.0,Male,Master's,Analyst,IT,6.0,71723
40.0,Female,High School,Analyst,HR,16.0,65442
42.0,Female,Bachelor's,Intern,IT,18.0,62464
27.0,Male,Bachelor's,Analyst,Operations,2.0,60952
28.0,Female,Bachelor's,Manager,Finance,6.0,72438
35.0,Male,Master's,Analyst,IT,11.0,82065
35.0,Male,Bachelor's,Intern,Finance,13.0,67647
27.0,Male,Bachelor's,Intern,HR,1.0,35046
50.0,Female,Bachelor's,Manager,Marketing,25.0,108217
31.0,Female,High School,Manager,IT,6.0,69422
40.0,Female,Master's,Analyst,Finance,15.0,84860
31.0,Male,Bachelor's,Intern,IT,8.0,46798
26.0,Male,High School,Intern,HR,0.0,29383
34.0,Female,PhD,Intern,HR,11.0,73680
52.0,Female,PhD,Manager,Finance,29.0,125465
26.0,Male,Master's,Engineer,Operations,1.0,63817
49.0,Male,Bachelor's,Intern,IT,26.0,78670
47.0,Male,High School,Engineer,IT,,83574
